Date,1 mo,2 mo,3 mo,6 mo,1 yr,2 yr,3 yr,5 yr,7 yr,10 yr,20 yr,30 yr
03/1990,,,8.023400167084377,8.119081035923141,8.12733500417711,8.360860864281918,8.382165261638946,8.381571732361207,8.440053922685502,8.422820308346624,,8.441812485759854
06/1990,,,8.011328282828282,8.16871572871573,8.27235137085137,8.57240836940837,8.624289321789325,8.644795093795095,8.704751803751806,8.674560606060606,,8.648327561327562
09/1990,,,7.722334822563655,7.7959471141622165,7.827746903490612,8.099306963059826,8.250275325996157,8.42705277686971,8.628664414659838,8.70573172060586,,8.79684028912862
12/1990,,,7.213333333333332,7.313681818181817,7.305121212121212,7.597075757575759,7.757212121212127,8.025575757575758,8.29021212121212,8.395515151515145,,8.545075757575761
03/1991,,,6.206763993316624,6.322983709273184,6.435709273182957,7.031693400167085,7.269495822890559,7.648210526315789,7.90186925647452,8.018880534670009,,8.1972447786132
06/1991,,,5.736696969696969,5.958000000000002,6.2416212121212125,6.895939393939393,7.2467121212121235,7.779757575757574,8.011999999999999,8.130272727272725,,8.316272727272727
09/1991,,,5.540712121212121,5.6957272727272725,5.8853787878787855,6.5108030303030295,6.89106060606061,7.49078787878788,7.787772727272727,7.940909090909089,,8.181303030303031
12/1991,,,4.672616769195716,4.773857370699475,4.867068428647373,5.49897812713602,5.841877420824791,6.558482949798741,6.996849700007594,7.344404192298925,,7.851312751575911
03/1992,,,3.9982756132756134,4.139074960127592,4.357622085516822,5.285066833751044,5.766298701298702,6.588735475051265,6.974713298397508,7.304182805498595,,7.802062352851827
06/1992,,,3.7676825396825397,3.92645238095238,4.218152236652237,5.205989177489175,5.778670274170275,6.653170995670995,7.0396341991341975,7.378098124098126,,7.898399711399712
09/1992,,,3.1490548340548337,3.2453463203463198,3.4173665223665224,4.147532467532467,4.682121212121213,5.604336219336218,6.146709956709955,6.615165945165948,,7.443203463203464
12/1992,,,3.1433367509683303,3.3452430318219784,3.5652832839674944,4.445322396901344,4.997419305840357,5.904760006075794,6.367193362193362,6.744068504594824,,7.52503683451052
03/1993,,,3.0260106788710908,3.181357742181541,3.405049580472921,4.1459954233409615,4.637627765064836,5.48580472921434,5.9281998474446995,6.278054919908467,,7.084263920671243
06/1993,,,3.033340548340549,3.174300865800866,3.3813831168831174,3.9927518037518044,4.41259668109668,5.182558441558442,5.621542568542567,5.989250360750359,,6.860186147186147
09/1993,,,3.0699927849927846,3.214675324675324,3.424862914862914,3.97347041847042,4.31946608946609,4.950238095238094,5.301854256854255,5.61432178932179,,6.315346320346319
12/1993,,,3.133075757575758,3.305318181818181,3.5260909090909087,4.080757575757578,4.404333333333334,4.972272727272728,5.328363636363636,5.61069696969697,6.282257575757576,6.133606060606059
03/1994,,,3.3219652936689545,3.567506483600305,3.909139969488939,4.536475972540046,4.9022524790236455,5.47452250190694,5.810157894736842,6.068755530129672,6.651529366895499,6.5626826849733035
06/1994,,,4.099078757499811,4.584209387104124,5.1324493050808835,5.8163108528898,6.199527606896029,6.666555023923446,6.905739728108148,7.085600744284956,7.484601655654288,7.358776106934002
09/1994,,,4.606555900621118,5.091746376811593,5.6005103519668715,6.233257418909591,6.554836438923394,6.956886473429953,7.156669082125602,7.330409937888201,7.71999551414769,7.592489302967565
12/1994,,,5.438587301587301,6.033587301587299,6.596896825396823,7.155507936507934,7.397007936507937,7.63223015873016,7.737642857142858,7.837603174603177,8.089373015873017,7.962642857142858
03/1995,,,5.917136155606407,6.329009916094584,6.726360411899314,7.131410373760487,7.267347444698703,7.38972692601068,7.458211670480549,7.484585430968726,7.752805110602594,7.635301678108315
06/1995,,,5.774904306220097,5.879529505582139,5.96859649122807,6.151570972886763,6.249585326953746,6.401060606060607,6.500502392344498,6.621180223285486,7.017647527910687,6.961236044657096
09/1995,,,5.530884057971014,5.601978260869565,5.6555362318840565,5.855623188405796,5.959702898550721,6.084637681159421,6.247413043478262,6.321253623188408,6.768579710144929,6.710144927536231
12/1995,,,5.41879365079365,5.47315873015873,5.443444444444446,5.500071428571428,5.5759761904761875,5.690214285714288,5.8095476190476205,5.895579365079366,6.300849206349209,6.233373015873014
03/1996,,,5.07086507936508,5.08597619047619,5.124,5.266277777777777,5.377825396825396,5.569357142857143,5.788857142857143,5.908817460317461,6.382698412698413,6.299396825396826
06/1996,,,5.157621212121213,5.353545454545454,5.661515151515153,6.11642424242424,6.288030303030304,6.491196969696969,6.656939393939395,6.720060606060606,7.101030303030303,6.926939393939395
09/1996,,,5.241590909090909,5.4396515151515175,5.783575757575757,6.17769696969697,6.355833333333334,6.5406666666666675,6.667727272727274,6.777636363636364,7.093227272727272,6.967000000000001
12/1996,,,5.111043897622843,5.277793726741096,5.481687552213866,5.798736994000151,5.9345746943115385,6.1039025594288745,6.238805346700086,6.346567175514544,6.707540442014124,6.6141987544619125
03/1997,,,5.19743984962406,5.3506274018379285,5.644381370091895,6.042838763575606,6.188948621553884,6.356426900584794,6.481291979949874,6.564340434419381,6.909435254803678,6.815687134502923
06/1997,,,5.190721500721502,5.487063492063491,5.849870129870129,6.273203463203463,6.421190476190476,6.56731601731602,6.658888888888886,6.696738816738815,7.021681096681097,6.9336075036075036
09/1997,,,5.186277056277056,5.342229437229437,5.543463203463201,5.903953823953825,6.012200577200576,6.129033189033188,6.23108225108225,6.242532467532464,6.592308802308803,6.527936507936508
12/1997,,,5.232794612794613,5.37570707070707,5.479528619528618,5.733198653198653,5.7786363636363625,5.835084175084176,5.926919191919192,5.904393939393938,6.21750841750842,6.141936026936027
03/1998,,,5.190272727272727,5.250964114832535,5.314155502392345,5.4454194577352455,5.458676236044656,5.50681658692185,5.614249601275918,5.588836523125998,5.949471291866029,5.883411483253589
06/1998,,,5.11564935064935,5.3143311688311705,5.409227994227993,5.559261904761904,5.569029581529583,5.587998556998556,5.659132034632035,5.59549422799423,5.935328282828283,5.851315295815297
09/1998,,,4.958181818181818,5.06336940836941,5.09145743145743,5.13098124098124,5.107041847041846,5.119978354978354,5.213795093795095,5.20331168831169,5.6061544011544,5.474018759018759
12/1998,,,4.366115667957774,4.450404799878485,4.388442697653224,4.379422799422798,4.411899445583656,4.390551378446115,4.627499810131391,4.667456140350878,5.378697121591856,5.105996050732894
03/1999,,,4.522700228832953,4.580770404271548,4.6660488176964146,4.848207475209763,4.87258581235698,4.885232646834478,5.084561403508772,4.9845537757437075,5.658047292143402,5.3678642257818465
06/1999,,,4.58518181818182,4.773363636363636,4.87860606060606,5.283318181818181,5.354181818181819,5.441878787878788,5.657409090909092,5.541196969696969,6.088757575757576,5.798348484848482
09/1999,,,4.793910533910535,4.9754256854256855,5.160353535353535,5.631616161616161,5.71005772005772,5.773946608946613,6.071414141414142,5.882077922077921,6.4019913419913435,6.041132756132754
12/1999,,,5.200939393939394,5.437530303030303,5.608257575757574,5.9430151515151515,6.001242424242424,6.062954545454548,6.293106060606061,6.140484848484846,6.613848484848485,6.253287878787877
03/2000,,,5.6966376811594195,5.956159420289855,6.187224637681159,6.526253623188405,6.55658695652174,6.58713768115942,6.641840579710145,6.4790072463768125,6.593978260869565,6.303659420289855
06/2000,,,5.892647527910686,6.232400318979269,6.216539074960127,6.565015948963317,6.516802232854867,6.417089314194576,6.42738437001595,6.176084529505584,6.338548644338116,5.973771929824562
09/2000,,,6.198297101449275,6.2925942028985515,6.130347826086957,6.216398550724637,6.155949275362321,6.058123188405794,6.084811594202898,5.8930289855072475,6.103666666666666,5.79786231884058
12/2000,,,6.195984126984128,6.192587301587303,5.902261904761904,5.71320634920635,5.6306269841269865,5.549492063492061,5.633857142857143,5.565404761904763,5.884936507936509,5.689849206349206
03/2001,,,4.941985266195792,4.823530796688691,4.599202931571352,4.586371610845294,4.636787423103214,4.795871496924128,5.036857294752031,5.048451431609327,5.586859573175363,5.445078225867699
06/2001,,,3.744806637806638,3.7609098124098126,3.7780180375180357,4.191333333333334,4.426122655122654,4.832790043290042,5.137531746031748,5.27221645021645,5.841838383838385,5.698507936507936
09/2001,3.293120204603581,,3.2411707871554416,3.2163569195794257,3.3040945073681627,3.6382620874436724,3.9339158851946547,4.483703974343359,4.8055945276661385,4.979753176632971,5.618761417610522,5.526584256891162
12/2001,1.991424242424242,,1.94140909090909,1.970136363636363,2.242651515151513,2.8718030303030293,3.3282727272727244,4.090666666666664,4.529424242424244,4.768606060606062,5.477681818181819,5.304484848484846
03/2002,1.7328863826232246,,1.7555346700083543,1.897045530492899,2.319401002506266,3.200286131996658,3.7483274853801167,4.458807017543859,4.880253550543024,5.077097744360902,5.743276106934001,
06/2002,1.7262121212121215,,1.745818181818182,1.906287878787878,2.342166666666666,3.2266060606060605,3.764696969696969,4.442454545454545,4.839272727272726,5.100651515151515,5.770121212121211,
09/2002,1.6908939393939395,,1.6733030303030303,1.6707121212121212,1.8110606060606056,2.231651515151515,2.6167272727272732,3.34660606060606,3.8916969696969694,4.260151515151516,5.188818181818182,
12/2002,1.3602829042302726,,1.3585630743525485,1.385019746335536,1.530526315789473,1.8903888509151667,2.267887142097669,3.011023391812865,3.6025651249335464,4.007237031973874,5.0166427432216905,
03/2003,1.1806432748538012,,1.1750877192982456,1.191278195488722,1.3002005012531328,1.6483458646616542,2.06938178780284,2.911361737677527,3.4648538011695904,3.919448621553885,4.902698412698412,
06/2003,1.0704761904761906,,1.0588888888888885,1.0728571428571427,1.1526984126984126,1.4215873015873017,1.7736507936507937,2.5700000000000003,3.1284126984126988,3.6206349206349207,4.591269841269842,
09/2003,0.9191125541125547,,0.9482467532467528,1.018051948051948,1.2208513708513706,1.6815223665223664,2.2004329004329004,3.142344877344877,3.719949494949495,4.231659451659452,5.1740981240981245,
12/2003,0.9146296296296298,,0.9361952861952857,1.0242255892255894,1.2988888888888888,1.8605555555555557,2.38473063973064,3.2472558922558927,3.783383838383839,4.286060606060605,5.163367003367003,
03/2004,0.9075202135774219,,0.9329050343249431,1.0033943554538522,1.2235251716247142,1.6929420289855075,2.172614035087719,2.9921170861937454,3.5126167048054917,4.020410755148741,4.886911136536994,
06/2004,0.9537460317460318,,1.0952301587301585,1.3592619047619046,1.7755158730158733,2.4559285714285717,2.973928571428571,3.7230238095238106,4.1859206349206355,4.598976190476191,5.357365079365079,
09/2004,1.369978354978355,,1.514076479076479,1.788888888888889,2.075937950937951,2.5573304473304472,2.9200865800865796,3.5061183261183264,3.9224747474747494,4.301724386724387,5.068290043290044,
12/2004,1.8377878787878785,,2.041575757575757,2.2909393939393947,2.466151515151516,2.8161060606060615,3.05369696969697,3.4902272727272727,3.8525757575757598,4.173969696969697,4.874666666666666,
03/2005,2.351445773524721,,2.582127591706539,2.8693692185007973,3.0640821371610847,3.4446850079744817,3.6128149920255184,3.879590111642743,4.089005582137161,4.294830143540669,4.7573883572567786,
06/2005,2.7077489177489187,,2.924978354978355,3.179018759018758,3.3369336219336225,3.6460245310245303,3.7330952380952382,3.8745670995670984,3.986659451659451,4.161139971139971,4.551883116883116,
09/2005,3.222832298136647,,3.433348861283644,3.701697377501725,3.7861373360938586,3.953846100759145,3.985184265010352,4.035788129744652,4.10543409247757,4.213052104899931,4.506523464458245,
12/2005,3.702404761904763,,3.912650793650794,4.249206349206347,4.287452380952382,4.3639285714285725,4.3719682539682525,4.391126984126984,4.425936507936508,4.488547619047618,4.7680873015872995,
03/2006,4.349583142639207,,4.501099923722349,4.651084286803967,4.634405034324943,4.5992780320366125,4.575709763539283,4.544564073226545,4.5477078565980165,4.569620137299772,4.766396262395118,
06/2006,4.671754385964912,,4.825223285486444,5.027575757575758,5.015789473684211,4.992982456140351,4.982663476874005,4.989035087719299,5.014330143540669,5.06896331738437,5.287615629984052,5.1393620414673045
09/2006,4.943101449275363,,5.032311594202898,5.172536231884059,5.091536231884058,4.93032608695652,4.869528985507249,4.8432246376811605,4.851065217391304,4.894340579710146,5.085731884057972,4.994195652173913
12/2006,5.017769841269841,,5.030841269841271,5.11273015873016,4.987484126984128,4.736563492063492,4.647587301587303,4.600682539682541,4.6024682539682535,4.629595238095239,4.832000000000002,4.740992063492065
03/2007,5.10850383534594,,5.1161319966583125,5.134428115743906,5.010427204374573,4.766258069415964,4.6847778537252225,4.648097516518568,4.654023315865422,4.682233614338878,4.893228525860105,4.798433963697121
06/2007,4.77606782106782,,4.872099567099566,5.000339105339105,4.934617604617604,4.804343434343434,4.7647041847041836,4.762265512265512,4.785310245310245,4.847676767676767,5.0705122655122645,4.9902958152958155
09/2007,4.26578584141513,,4.424039809669099,4.596620173622458,4.524433910864117,4.381223348225636,4.407677163924305,4.505294395408811,4.596604554865425,4.733549090116596,5.00734335839599,4.94447568195852
12/2007,3.4504696969696944,,3.474575757575756,3.6940303030303006,3.619606060606062,3.473742424242424,3.496803030303031,3.7842272727272728,3.980272727272729,4.25790909090909,4.653257575757575,4.606878787878789
03/2008,2.120690476190476,,2.0925,2.147063492063492,2.1029761904761908,2.0219047619047616,2.165309523809524,2.7476587301587307,3.149547619047619,3.663928571428572,4.399825396825398,4.413492063492063
06/2008,1.5180663780663777,,1.6555266955266956,1.8770995670995667,2.071139971139971,2.4222655122655117,2.6658297258297257,3.1599783549783553,3.4624819624819625,3.8848412698412704,4.58940836940837,4.5761399711399715
09/2008,1.3893073593073595,,1.518174603174603,1.8613347763347763,2.1239393939393936,2.356616161616161,2.629163059163059,3.1097907647907648,3.434509379509379,3.859877344877346,4.493600288600289,4.447287157287158
12/2008,0.13838383838383853,,0.3064238880028351,0.7409764309764307,0.9938888888888885,1.2153198653198654,1.4829966329966335,2.179949494949495,2.632811447811447,3.2523737373737394,3.9659764309764314,3.682542087542089
03/2009,0.1248397129186603,,0.21355741626794258,0.39645215311004783,0.5704074960127591,0.9045422647527911,1.2717400318979266,1.7613293460925041,2.2329617224880387,2.7356818181818183,3.690578947368421,3.452674641148325
06/2009,0.11045815295815299,,0.17124386724386723,0.32284054834054826,0.5209184704184705,1.0135779220779224,1.4895707070707072,2.23266810966811,2.8802460317460326,3.3139870129870133,4.1906486291486305,4.167787878787879
09/2009,0.11084415584415586,,0.15962481962481956,0.2519119769119769,0.44748196248196254,1.0301731601731603,1.5581240981240978,2.467575757575758,3.1228860028860037,3.5171067821067816,4.281940836940838,4.321161616161617
12/2009,0.04180071390597709,,0.060312143996354484,0.16098010176957545,0.3530944786207944,0.8755836561099716,1.3877690438216754,2.301279334700388,2.9864859117490696,3.4600835421888045,4.265729854940383,4.332466393255866
03/2010,0.06550724637681159,,0.1069870327993898,0.18504195270785662,0.3624103737604882,0.914828375286041,1.4662700228832952,2.426979405034325,3.164439359267734,3.717200610221205,4.490587337909993,4.62299771167048
06/2010,0.12566666666666668,,0.1486363636363636,0.21950000000000003,0.37806060606060604,0.8718333333333333,1.3772424242424242,2.2525757575757575,2.932909090909091,3.4903030303030307,4.198621212121211,4.368969696969697
09/2010,0.14247474747474745,,0.15484126984126986,0.19505772005772007,0.269062049062049,0.5390404040404038,0.8347041847041844,1.5462626262626262,2.195389610389611,2.7858946608946606,3.594018759018758,3.8569336219336208
12/2010,0.12074242424242428,,0.13946969696969697,0.18389393939393942,0.258030303030303,0.48272727272727245,0.7452272727272725,1.4890151515151517,2.1775757575757577,2.864636363636364,3.8385454545454536,4.158742424242423
03/2011,0.10683981693363846,,0.12818001525553013,0.16881426392067125,0.2729820747520976,0.6948409610983982,1.161668573607933,2.1219576659038903,2.8280697940503434,3.4615545385202133,4.323590389016019,4.563006102212053
06/2011,0.024292207792207813,,0.045575036075036095,0.10251010101010107,0.20516810966810964,0.5667308802308804,0.952200577200577,1.8637936507936512,2.5458759018759025,3.2086147186147187,4.067324675324676,4.342520202020201
09/2011,0.020201863354037286,,0.025219116632160126,0.06316908212560392,0.134848171152519,0.28278778467908916,0.4722843340234646,1.1542601794340925,1.7752180814354732,2.4270938578329884,3.3398084886128374,3.7013951000690124
12/2011,0.01027777777777779,,0.014809523809523821,0.04985714285714291,0.11391269841269845,0.26371428571428573,0.4172142857142858,0.9536428571428571,1.5000158730158741,2.047865079365079,2.7517063492063514,3.041960317460316
03/2012,0.05054545454545456,,0.07019696969696972,0.11059090909090911,0.15533333333333335,0.2876818181818182,0.4167424242424242,0.8944242424242423,1.4395151515151514,2.035575757575757,2.794484848484848,3.1387878787878787
06/2012,0.061493506493506524,,0.08826118326118332,0.1441991341991342,0.18806637806637808,0.28960317460317453,0.40304473304473304,0.789336219336219,1.2394733044733044,1.8261399711399708,2.549588744588744,2.937763347763348
09/2012,0.07898696015400823,,0.1016715702299227,0.14117249645853766,0.18166067342268713,0.2573513493879627,0.34573317351349386,0.6674614071410407,1.0793080527405472,1.6426951436562416,2.3677966655769858,2.747482837528604
12/2012,0.09117460317460319,,0.08942063492063496,0.13768253968253966,0.17217460317460312,0.26738095238095244,0.35934920634920636,0.6898571428571428,1.1189047619047618,1.7063968253968247,2.4542380952380944,2.862492063492063
03/2013,0.06891562238930661,,0.08674436090225567,0.11544319131161239,0.15003550543024227,0.2628688387635756,0.3916324143692565,0.8233512949039264,1.3214974937343358,1.9521574770258983,2.7493533834586468,3.1360797827903095
06/2013,0.03468181818181819,,0.05153030303030307,0.08750000000000002,0.12839393939393937,0.2720757575757576,0.4377878787878788,0.9182878787878787,1.392393939393939,1.995757575757576,2.7842121212121214,3.1484848484848484
09/2013,0.02507575757575758,,0.031696969696969744,0.06231818181818183,0.1223787878787879,0.3670909090909091,0.7093787878787877,1.5065454545454544,2.1200454545454543,2.7096818181818176,3.4404848484848487,3.7165757575757574
12/2013,0.05726627173995596,,0.06061137692716647,0.0898560795929217,0.12526657552973341,0.32637958532695377,0.6309884559884561,1.4380204298625348,2.116274777853725,2.7454116351484767,3.5032987772461457,3.788318903318902
03/2014,0.03847117794486218,,0.049448621553884735,0.07622389306599835,0.12037593984962408,0.37323308270676697,0.7615371762740185,1.6006599832915622,2.2265914786967422,2.7636340852130323,3.4177694235588967,3.68421052631579
06/2014,0.024761904761904773,,0.03301587301587302,0.05523809523809525,0.10301587301587302,0.4195238095238096,0.8719047619047618,1.6576190476190475,2.194603174603174,2.6209523809523803,3.1779365079365065,3.442539682539683
09/2014,0.021839826839826843,,0.026406926406926406,0.05191197691197693,0.10934343434343434,0.5151370851370851,0.984069264069264,1.7015945165945172,2.1578932178932173,2.4988528138528134,3.0071212121212105,3.2642568542568546
12/2014,0.0291919191919192,,0.022525252525252518,0.07542087542087543,0.15117845117845116,0.5360437710437712,0.9672895622895624,1.6021548821548823,1.996599326599326,2.2789730639730634,2.6960269360269358,2.9705050505050514
03/2015,0.019540669856459334,,0.02437400318979267,0.08801754385964915,0.22444896331738437,0.603633971291866,0.9684657097288677,1.455407496012759,1.7672224880382776,1.9664968102073364,2.3147464114832537,2.5492264752791067
06/2015,0.012969696969696973,,0.018227272727272727,0.08665151515151519,0.25003030303030305,0.6125454545454544,0.9691515151515149,1.525560606060606,1.9078181818181819,2.165378787878788,2.623848484848485,2.8842424242424243
09/2015,0.024603174603174613,,0.042821067821067815,0.17196248196248196,0.3486219336219336,0.6928932178932178,1.023232323232323,1.5545670995670997,1.942034632034633,2.221515151515152,2.6437085137085137,2.9583116883116882
12/2015,0.08571884256094785,,0.12387293992557152,0.3135983899141794,0.4646039340776184,0.8374086731981466,1.1371105794790004,1.5851344269765322,1.9417665375560118,2.1919617224880388,2.598815219867852,2.9626984126984124
03/2016,0.24551674641148327,,0.2897137161084529,0.4499122807017544,0.5778405103668262,0.8359912280701755,1.0248939393939394,1.37211004784689,1.689396331738437,1.917951355661882,2.3212854864433816,2.721988835725677
06/2016,0.21172438672438673,,0.2591630591630592,0.3983477633477633,0.5664718614718612,0.7718831168831167,0.9169769119769121,1.2416450216450217,1.5364862914862913,1.7518398268398274,2.148744588744589,2.567741702741702
09/2016,0.2385993788819877,,0.2982836438923396,0.4390766045548655,0.5583647342995167,0.7269478951000691,0.8486773636991028,1.1275462387853687,1.3957298136645961,1.5636659765355425,1.9091011042097996,2.279738440303657
12/2016,0.3224444444444445,,0.43196825396825395,0.5661984126984126,0.7538968253968252,1.0063888888888888,1.234420634920635,1.6090158730158723,1.9294603174603175,2.1328015873015875,2.514246031746031,2.8252777777777767
03/2017,0.5469046529366896,,0.5977139588100687,0.7186033562166285,0.8854870327993899,1.2401987032799389,1.5122524790236458,1.9438524027459954,2.2526540808543096,2.4443954996186115,2.7809744469870328,3.0441365369946602
06/2017,0.7593484848484847,,0.890090909090909,1.0153484848484846,1.1045454545454547,1.2743636363636364,1.4466666666666665,1.7813030303030304,2.0389090909090917,2.224318181818182,2.5899696969696966,2.849984848484848
09/2017,0.9818550724637679,,1.0550579710144927,1.1428768115942027,1.2442101449275362,1.3640724637681156,1.5117536231884057,1.8153405797101454,2.0642753623188406,2.2430434782608697,2.5775579710144925,2.8185724637681155
12/2017,1.0965714285714285,,1.228436507936508,1.3780158730158731,1.552706349206349,1.6967301587301586,1.8151587301587302,2.0709841269841265,2.2491904761904773,2.3719444444444453,2.6161428571428567,2.8160000000000003
03/2018,1.4390643274853803,,1.582314118629908,1.7743107769423558,1.9431328320802,2.1609607351712614,2.308295739348371,2.5369674185463658,2.686917293233083,2.76171261487051,2.908153717627402,3.033366750208856
06/2018,1.7241774891774895,,1.8742929292929293,2.05502886002886,2.2518470418470424,2.476479076479077,2.6082972582972586,2.7648124098124094,2.8731168831168836,2.919718614718615,2.9963203463203456,3.084574314574315
09/2018,1.9570150012712944,,2.0775445861029387,2.2513406705168717,2.463721986124732,2.6700711924739395,2.747549308052742,2.813043115033962,2.8860324724855637,2.927462860048673,2.999977843158621,3.0664861428934658
12/2018,2.259975279106859,2.321269005847953,2.3597623604465707,2.5050047846889956,2.6685271132376407,2.7987416267942593,2.8383293460925043,2.8763444976076555,2.9589314194577363,3.0339681020733664,3.1702264752791076,3.265444976076555
